"industry,company_name,funding_amount(USD),round_type,funding_date,city,province"
"E-commerce,ZopNow,15000000,Series B,2025-01-15,Bangalore,Karnataka"
"FinTech,PaySprint,5000000,Seed,2025-02-03,Mumbai,Maharashtra"
"EdTech,Learnly,12000000,Series A,2025-03-22,Hyderabad,Telangana"
"HealthTech,MediCare24,8000000,Pre-Series A,2025-01-08,Delhi,Delhi"
"AgriTech,FarmFit,3000000,Angel,2025-04-17,Pune,Maharashtra"
"SaaS,CloudScale,25000000,Series C,2025-05-05,Bangalore,Karnataka"
"Mobility,RideEase,18000000,Series B,2025-03-11,Chennai,Tamil Nadu"
"AI/ML,DeepAlgo,7000000,Seed,2025-02-28,Gurgaon,Haryana"
"FinTech,Wealthy,40000000,Series D,2025-06-08,Mumbai,Maharashtra"
"CleanTech,SolarGrid,9000000,Series A,2025-04-30,Ahmedabad,Gujarat"
"Gaming,GameNation,20000000,Series B,2025-05-18,Bangalore,Karnataka"
"Logistics,QuickShip,11000000,Series A,2025-03-05,Noida,Uttar Pradesh"
"FinTech,LendEasy,6000000,Seed,2025-01-25,Mumbai,Maharashtra"
"HealthTech,DocPlus,13000000,Series B,2025-06-12,Hyderabad,Telangana"
"EV,BatteryX,35000000,Series C,2025-04-10,Bangalore,Karnataka"
"AI/ML,BotMind,10000000,Series A,2025-02-14,Pune,Maharashtra"
"EdTech,SkillCraft,7500000,Pre-Series A,2025-05-30,Chennai,Tamil Nadu"
"AgriTech,AgroGrow,5000000,Angel,2025-03-08,Jaipur,Rajasthan"
"FinTech,CoinSwift,22000000,Series B,2025-06-20,Mumbai,Maharashtra"
"DeepTech,NeuroLink,15000000,Series A,2025-04-05,Bangalore,Karnataka"
"HealthTech,WellBe,9000000,Seed,2025-01-30,Delhi,Delhi"
"E-commerce,DealDay,12000000,Series A,2025-02-22,Mumbai,Maharashtra"
"SaaS,DataHive,18000000,Series B,2025-05-15,Hyderabad,Telangana"
"AI/ML,VisionAI,30000000,Series C,2025-06-10,Bangalore,Karnataka"
"FinTech,PayRup,7000000,Seed,2025-03-19,Pune,Maharashtra"
"EdTech,EduVerse,14000000,Series A,2025-04-25,Ahmedabad,Gujarat"
"EV,ChargeZoom,25000000,Series B,2025-05-08,Chennai,Tamil Nadu"
"Logistics,FleetGo,8000000,Pre-Series A,2025-02-10,Gurgaon,Haryana"
"HealthTech,GenoHealth,20000000,Series B,2025-06-15,Bangalore,Karnataka"
"CleanTech,GreenFuel,16000000,Series A,2025-03-28,Mumbai,Maharashtra"
