"company_name,industry,founding_year,founders,employee_count,city"
"ZopNow,E-commerce,2019,""Rahul Sharma, Priya Patel"",450,Bangalore"
"PaySprint,FinTech,2020,""Vikram Mehta, Ananya Reddy"",320,Mumbai"
"Learnly,EdTech,2021,""Arjun Kapoor, Neha Gupta"",600,Hyderabad"
"MediCare24,HealthTech,2018,""Dr. Sanjay Verma, Kavita Rao"",280,Delhi"
"FarmFit,AgriTech,2020,""Rajesh Yadav, Meena Iyer"",150,Pune"
"CloudScale,SaaS,2017,""Amit Deshpande, Deepika Nair"",800,Bangalore"
"RideEase,Mobility,2019,""Karan Malhotra, Sneha Joshi"",350,Chennai"
"DeepAlgo,AI/ML,2021,""Prof. Ravi Menon, Aditi Sinha"",180,Gurgaon"
"Wealthy,FinTech,2018,""Nikhil Oberoi, Shilpa Reddy"",700,Mumbai"
"SolarGrid,CleanTech,2020,""Anil Gupta, Divya Prakash"",220,Ahmedabad"
"GameNation,Gaming,2021,""Vishal Shah, Pooja Mehta"",310,Bangalore"
"QuickShip,Logistics,2019,""Harish Kumar, Anjali Rao"",410,Noida"
"LendEasy,FinTech,2020,""Siddharth Banerjee, Ritu Singh"",260,Mumbai"
"DocPlus,HealthTech,2017,""Dr. Amitabh Roy, Shreya Das"",530,Hyderabad"
"BatteryX,EV,2018,""Sameer Khanna, Preeti Choudhary"",670,Bangalore"
"BotMind,AI/ML,2021,""Rahul Nair, Ananya Mishra"",190,Pune"
"SkillCraft,EdTech,2020,""Vivek Rana, Geeta Kapoor"",340,Chennai"
"AgroGrow,AgriTech,2019,""Manish Patel, Rekha Sharma"",120,Jaipur"
"CoinSwift,FinTech,2021,""Aryan Bhatia, Neha Kapoor"",480,Mumbai"
"NeuroLink,DeepTech,2020,""Dr. Anil Krishnan, Priya Reddy"",210,Bangalore"
"WellBe,HealthTech,2018,""Dr. Rohit Malhotra, Anjali Iyer"",290,Delhi"
"DealDay,E-commerce,2021,""Rajat Verma, Sneha Nair"",380,Mumbai"
"DataHive,SaaS,2019,""Aditya Rao, Nandini Patel"",550,Hyderabad"
"VisionAI,AI/ML,2017,""Prof. Sanjay Kumar, Anjali Rao"",720,Bangalore"
"PayRup,FinTech,2020,""Vikas Sharma, Priya Reddy"",230,Pune"
"EduVerse,EdTech,2021,""Arvind Singh, Shweta Gupta"",410,Ahmedabad"
"ChargeZoom,EV,2019,""Rahul Bajaj, Ananya Das"",390,Chennai"
"FleetGo,Logistics,2018,""Rajiv Malhotra, Pooja Reddy"",270,Gurgaon"
"GenoHealth,HealthTech,2020,""Dr. Ananya Roy, Vikram Patel"",620,Bangalore"
"GreenFuel,CleanTech,2019,""Alok Verma, Divya Sharma"",330,Mumbai"
